date,curator,artist,track,genre,youtube_url,youtube_music_url,spotify_url,bandcamp_url,soundcloud_url,tidal_url
2016-12-16,trey,Wormrot,Oblivious Mess,grindcore,https://www.youtube.com/watch?v=Idf5m_G8Xsc,,https://open.spotify.com/track/04VcYPa13GaF0BP3FWYd8m,https://wormrot.bandcamp.com/track/oblivious-mess,https://soundcloud.com/wormrot/oblivious-mess,
2016-12-16,trey,Wormrot,Eternal Sunshine of the Spotless Grind,grindcore,https://www.youtube.com/watch?v=WvZFD_gRM_M,,https://open.spotify.com/track/4HB5XuhAU5lgYL1aaDhs3S,https://wormrot.bandcamp.com/track/eternal-sunshine-of-the-spotless-grind,https://soundcloud.com/wormrot/eternal-sunshine-of-the,
2016-12-23,trey,Astronoid,Up and Atom,progressive metal/dream thrash,https://www.youtube.com/watch?v=FLZ0SHY3Ya8,,https://open.spotify.com/track/74SJpcxfVHCENjUIr1p3cL,https://astronoid.bandcamp.com/track/up-and-atom,https://soundcloud.com/adayu-the-chosen/astronoid-up-and-atom,
2017-01-06,trey,Misery Index,Conjuring the Cull,death metal,https://www.youtube.com/watch?v=obO-yHB-vgs,,https://open.spotify.com/track/2KvUQpIGMypbAPJlZDR1aM,https://miseryindex.bandcamp.com/track/conjuring-the-cull,https://soundcloud.com/pasukanjihad666/misery-index-conjuring-the,
2017-01-06,trey,Suffocation,Infecting the Crypts,death metal,https://www.youtube.com/watch?v=xHXKVlD_X1o,,https://open.spotify.com/track/2Whteyzod5GZlc3R8hi0DX,https://relapsealumni.bandcamp.com/track/infecting-the-crypts,https://soundcloud.com/suffocation-official/infecting-the-crypts-live,
2017-01-27,trey,Behemoth,Furor Divinus,blackened death metal,https://www.youtube.com/watch?v=7V5oxj8Qy0k,,https://open.spotify.com/track/65CWoT7I7N0bHxzuXujYdm,https://possessionproductions.bandcamp.com/track/furor-divinus,https://soundcloud.com/behemothofficial/furor-divinus,
2017-01-27,trey,Behexen,Cave of the Dark Dreams,black metal,https://www.youtube.com/watch?v=JMJe4KqZOXU,,https://open.spotify.com/track/3WBUkNHTHZ7J1lRoA5kcl0,https://behexen.bandcamp.com/track/cave-of-the-dark-dreams,,
2017-01-27,trey,Enslaved,Ground,progressive black metal,https://www.youtube.com/watch?v=VKVa1lLJzUk,,https://open.spotify.com/track/7JSJj4WfwoKo4csKkkhGjG,https://enslaved.bandcamp.com/album/vertebrae,,
2017-01-27,trey,Inquisition,Darkness Flows Towards Unseen Horizons,black metal,https://www.youtube.com/watch?v=tZsaoUJ2ReQ,,https://open.spotify.com/track/1Pp498JnCE5IAVC3BFcz1b,,,
2017-02-03,trey,Finsterforst,Fremd,folk metal,https://www.youtube.com/watch?v=3N76cTghu_8,,https://open.spotify.com/track/10eDwDPbPchSdbpZWd2p3A,https://finsterforst.bandcamp.com/track/fremd,,
